id,session,target,fb_2_target
2,1,6,-2
2,1,6,1
2,1,9,0
2,1,6,5
2,1,9,-2
2,1,6,-6
2,1,6,0
2,1,9,-4
2,1,9,-1
2,1,9,1
2,1,6,-1
2,1,9,-1
2,1,6,2
2,1,9,-1
2,1,6,5
2,1,9,-3
2,1,9,2
2,1,6,5
2,1,9,-2
2,1,6,2
2,1,6,3
2,1,6,-1
2,1,9,2
2,1,9,0
2,1,9,-1
2,1,6,0
2,1,9,-1
2,1,6,2
2,1,9,3
2,1,6,4
2,1,9,-1
2,1,6,4
2,1,9,1
2,1,6,6
2,1,9,0
2,1,6,-1
2,1,9,0
2,1,6,0
2,1,6,-2
2,1,9,-1
2,1,6,0
2,1,6,2
2,1,9,-2
2,1,9,-3
2,1,9,0
2,1,6,3
2,1,6,2
2,1,6,-1
2,1,9,-2
2,1,9,0
2,1,9,-3
2,1,9,1
2,1,6,2
2,1,6,1
2,1,6,-1
2,1,6,-1
2,1,9,-3
2,1,9,-4
2,1,9,1
2,1,6,3
2,2,6,-1
2,2,6,6
2,2,9,3
2,2,6,3
2,2,9,3
2,2,6,-1
2,2,6,4
2,2,9,1
2,2,9,3
2,2,9,-3
2,2,6,-1
2,2,9,3
2,2,6,2
2,2,9,3
2,2,6,-1
2,2,9,-3
2,2,9,0
2,2,6,3
2,2,9,3
2,2,6,1
2,2,6,1
2,2,6,0
2,2,9,0
2,2,9,1
2,2,9,3
2,2,6,4
2,2,9,3
2,2,6,1
2,2,9,1
2,2,6,-1
2,2,9,-3
2,2,6,0
2,2,9,0
2,2,6,3
2,2,9,-1
2,2,6,3
2,2,9,-3
2,2,6,4
2,2,6,-4
2,2,9,3
2,2,6,3
2,2,6,3
2,2,9,-1
2,2,9,0
2,2,9,0
2,2,6,2
2,2,6,-3
2,2,6,-3
2,2,9,-1
2,2,9,3
2,2,9,-1
2,2,9,1
2,2,6,1
2,2,6,4
2,2,6,-1
2,2,6,3
2,2,9,-2
2,2,9,-2
2,2,9,3
2,2,6,3
2,3,6,2
2,3,6,0
2,3,9,-2
2,3,6,0
2,3,9,-1
2,3,6,1
2,3,6,1
2,3,9,-2
2,3,9,2
2,3,9,-2
2,3,6,-1
2,3,9,2
2,3,6,0
2,3,9,0
2,3,6,-3
2,3,9,-2
2,3,9,-5
2,3,6,1
2,3,9,-2
2,3,6,1
2,3,6,-5
2,3,6,1
2,3,9,-1
2,3,9,3
2,3,9,-3
2,3,6,1
2,3,9,-2
2,3,6,0
2,3,9,-3
2,3,6,3
2,3,9,-5
2,3,6,1
2,3,9,-3
2,3,6,1
2,3,9,-5
2,3,6,-1
2,3,9,-2
2,3,6,-1
2,3,6,-5
2,3,9,1
2,3,9,0
2,3,6,4
2,3,9,-7
2,3,6,-2
2,3,9,-4
2,3,6,3
2,3,9,-3
2,3,6,4
2,3,6,0
2,3,9,-3
2,3,9,-5
2,3,9,-3
2,3,6,1
2,3,6,1
2,3,6,5
2,3,6,-1
2,3,9,2
2,3,9,0
2,3,9,2
2,3,6,4
4,1,6,1
4,1,6,2
4,1,9,2
4,1,6,1
4,1,9,2
4,1,6,6
4,1,6,1
4,1,9,-8
4,1,9,2
4,1,9,3
4,1,6,6
4,1,9,2
4,1,6,6
4,1,9,-2
4,1,6,6
4,1,9,2
4,1,9,1
