"","id","trial","cond_lag","count_lag","graph_order","pooled_order","hr","rating"
"100",2,102,"CS",1,4,4,9.03245833333333,40
"101",2,103,"CS",2,3,3,5.097875,79
"102",2,104,"CS-US",1,5,1,-7.724375,75
"103",2,105,"CS-US",2,6,2,6.83454166666667,50
"104",2,106,"CS-US",3,7,3,15.438625,20
"105",2,107,"CS",1,4,4,10.6224166666667,45
"106",2,108,"CS",2,3,3,0.0906250000000046,56
"107",2,109,"CS",3,2,2,16.4885833333333,90
"108",2,110,"CS-US",1,5,1,3.43845833333333,80
"109",2,111,"CS",1,4,4,5.876125,60
"110",2,112,"CS-US",1,5,1,10.7469166666667,55
"111",2,113,"CS-US",2,6,2,9.49816666666666,30
"112",2,114,"CS",1,4,4,-10.18675,65
"113",2,115,"CS",2,3,3,12.989375,70
"114",2,116,"CS-US",1,5,1,0.230416666666674,52
"115",2,117,"CS-US",2,6,2,17.579875,25
"116",2,118,"CS-US",3,7,3,3.125375,5
"117",2,119,"CS-US",4,8,4,25.4102916666667,50
"118",2,120,"CS",1,4,4,5.12658333333333,69
"119",2,121,"CS-US",1,5,1,6.53516666666668,65
"120",2,122,"CS",1,4,4,5.48133333333333,40
"121",2,123,"CS",2,3,3,5.45095833333334,75
"122",2,124,"CS-US",1,5,1,6.867875,70
"123",2,125,"CS",1,4,4,13.1221666666667,79
"124",2,126,"CS-US",1,5,1,-3.52091666666667,24
"125",2,127,"CS-US",2,6,2,-5.43670833333333,0
"126",2,128,"CS-US",3,7,3,2.242125,70
"127",2,129,"CS",1,4,4,12.1289166666667,50
"128",2,130,"CS",2,3,3,13.013625,65
"129",2,131,"CS-US",1,5,1,21.972125,79
"130",2,132,"CS",1,4,4,-5.34758333333334,100
"131",2,133,"CS-US",1,5,1,0.63045833333333,100
"132",2,134,"CS",1,4,4,-4.935,50
"133",2,135,"CS-US",1,5,1,-5.80333333333333,40
"134",2,136,"CS",1,4,4,3.45533333333334,75
"135",2,137,"CS-US",1,5,1,10.6842916666667,50
"136",2,138,"CS-US",2,6,2,-3.886,20
"137",2,139,"CS",1,4,4,5.42975,0
"138",2,140,"CS",2,3,3,2.32579166666667,65
"139",2,141,"CS",3,2,2,8.08891666666667,90
"140",2,142,"CS-US",1,5,1,7.671625,100
"141",2,143,"CS-US",2,6,2,-2.25233333333334,45
