"","id","trial","cond_lag","count_lag","graph_order","pooled_order","hr","rating"
"1",101,2,"CS",1,4,4,-2.48333333333333,17
"2",101,3,"CS",2,3,3,-7.50820833333334,25
"3",101,4,"CS-US",1,5,1,6.47616666666666,28
"4",101,5,"CS",1,4,4,4.58579166666667,40
"5",101,6,"CS",2,3,3,3.29537500000001,70
"6",101,7,"CS",3,2,2,0.679916666666667,80
"7",101,8,"CS",4,1,1,-3.56395833333333,92
"8",101,9,"CS-US",1,5,1,6.4455,100
"9",101,10,"CS",1,4,4,-13.0449583333333,100
"10",101,11,"CS-US",1,5,1,5.139625,77
"11",101,12,"CS",1,4,4,8.00533333333334,78
"12",101,13,"CS-US",1,5,1,-16.86725,90
"13",101,14,"CS",1,4,4,-5.34670833333333,100
"14",101,15,"CS",2,3,3,7.24779166666667,76
"15",101,16,"CS-US",1,5,1,-9.94458333333332,92
"16",101,17,"CS",1,4,4,8.04908333333333,71
"17",101,18,"CS",2,3,3,-8.66758333333334,59
"18",101,19,"CS-US",1,5,1,-19.69175,42
"19",101,20,"CS",1,4,4,-13.7505833333333,79
"20",101,21,"CS",2,3,3,4.28904166666666,91
"21",101,22,"CS",3,2,2,-4.54158333333334,88
"22",101,23,"CS-US",1,5,1,0.960625000000002,100
"23",101,24,"CS",1,4,4,-10.9519583333333,100
"24",101,25,"CS-US",1,5,1,0.801041666666663,62
"25",101,26,"CS",1,4,4,-7.91608333333333,61
"26",101,27,"CS-US",1,5,1,-1.78670833333333,75
"27",101,28,"CS-US",2,6,2,4.51991666666667,79
"28",101,29,"CS",1,4,4,9.29166666666667,10
"29",101,30,"CS",2,3,3,11.6525416666667,80
"30",101,31,"CS",3,2,2,-1.88645833333333,86
"31",101,32,"CS",4,1,1,12.7872083333333,66
"32",101,33,"CS-US",1,5,1,-9.730875,81
"33",101,34,"CS",1,4,4,-17.7757083333333,100
"34",101,35,"CS-US",1,5,1,16.6721666666667,89
"35",101,36,"CS",1,4,4,0.870291666666661,84
"36",101,37,"CS-US",1,5,1,-8.34608333333333,70
"37",101,38,"CS-US",2,6,2,7.374625,60
"38",101,39,"CS-US",3,7,3,1.957625,75
"39",101,40,"CS",1,4,4,7.66991666666667,5
"40",101,41,"CS-US",1,5,1,3.35833333333334,81
"41",101,42,"CS-US",2,6,2,9.12441666666667,90
"42",101,43,"CS",1,4,4,4.65625000000001,70
"43",101,44,"CS",2,3,3,-1.267,91
"44",101,45,"CS-US",1,5,1,18.1746666666667,60
"45",101,46,"CS",1,4,4,12.9062916666667,76
"46",101,47,"CS-US",1,5,1,5.939375,84
"47",101,48,"CS-US",2,6,2,7.33341666666667,74
"48",101,49,"CS",1,4,4,2.5305,80
"49",101,50,"CS-US",1,5,1,3.98245833333332,95
"50",101,51,"CS",1,4,4,13.1919583333333,45
"51",101,52,"CS-US",1,5,1,6.11899999999999,60
"52",101,53,"CS-US",2,6,2,10.7659166666667,75
"53",101,54,"CS-US",3,7,3,2.91275000000001,56
"54",101,55,"CS",1,4,4,-10.0771666666667,86
"55",101,56,"CS-US",1,5,1,7.68625000000001,61
"56",101,57,"CS-US",2,6,2,14.635625,84
"57",101,58,"CS",1,4,4,-11.1425416666667,83
"58",101,59,"CS-US",1,5,1,4.12041666666667,62
"59",101,60,"CS-US",2,6,2,4.59204166666667,57
"60",101,61,"CS",1,4,4,4.796875,46
"61",101,62,"CS",2,3,3,-7.822875,75
"62",101,63,"CS-US",1,5,1,4.77587500000001,57
"63",101,64,"CS",1,4,4,2.63195833333332,85
"64",101,65,"CS",2,3,3,5.14033333333332,61
"65",101,66,"CS-US",1,5,1,-9.67066666666667,65
"66",101,67,"CS-US",2,6,2,3.187375,50
"67",101,68,"CS-US",3,7,3,3.42537499999999,45
"68",101,69,"CS",1,4,4,11.9409583333333,76
