"","id","trial","condition","count","cond_lag","count_lag","graph_order","pooled_order","hr","rating"
"77",3,11,"CS-US",1,"CS",2,3,3,7.63083333333334,100
"78",3,13,"CS-US",1,"CS",1,4,4,9.67683333333333,22
"79",3,15,"CS-US",1,"CS",1,4,4,8.88833333333333,100
"80",3,16,"CS-US",2,"CS-US",1,5,1,-1.94661111111111,70
"81",3,17,"CS-US",3,"CS-US",2,6,2,0.399444444444451,14
"82",3,19,"CS-US",1,"CS",1,4,4,-0.0823888888888954,87
"83",3,28,"CS-US",1,"CS",3,2,2,-2.81311111111111,78
"84",3,30,"CS-US",1,"CS",1,4,4,5.354,89
"85",3,36,"CS-US",2,"CS-US",1,5,1,0.680777777777771,61
"86",3,39,"CS-US",1,"CS",2,3,3,9.80599999999999,100
"87",3,42,"CS-US",1,"CS",2,3,3,-10.4538333333333,60
"88",3,43,"CS-US",2,"CS-US",1,5,1,0.0836666666666714,89
"89",3,45,"CS-US",1,"CS",1,4,4,-8.05711111111111,81
"90",3,46,"CS-US",2,"CS-US",1,5,1,-9.19527777777778,79
"91",3,47,"CS-US",3,"CS-US",2,6,2,6.52627777777778,97
"92",3,48,"CS-US",4,"CS-US",3,7,3,2.46833333333333,75
"93",3,50,"CS-US",1,"CS",1,4,4,1.90461111111112,74
"94",3,53,"CS-US",1,"CS",2,3,3,1.27494444444444,96
"95",3,55,"CS-US",1,"CS",1,4,4,2.48116666666666,100
"96",3,56,"CS-US",2,"CS-US",1,5,1,-0.542666666666668,69
"97",3,58,"CS-US",1,"CS",1,4,4,-1.67833333333333,81
"98",3,59,"CS-US",2,"CS-US",1,5,1,-5.23872222222223,91
"99",3,60,"CS-US",3,"CS-US",2,6,2,-3.11072222222223,50
"100",3,62,"CS-US",1,"CS",1,4,4,4.75622222222222,81
"101",3,69,"CS-US",1,"CS",1,4,4,2.51911111111112,90
"102",3,70,"CS-US",2,"CS-US",1,5,1,2.99877777777777,92
"103",3,71,"CS-US",3,"CS-US",2,6,2,3.2216111111111,44
"104",3,72,"CS-US",4,"CS-US",3,7,3,5.81666666666666,84
"105",3,75,"CS-US",1,"CS",2,3,3,3.42072222222223,10
"106",3,76,"CS-US",2,"CS-US",1,5,1,0.636777777777791,100
"107",3,78,"CS-US",1,"CS",1,4,4,2.40244444444445,100
"108",3,79,"CS-US",2,"CS-US",1,5,1,-0.331444444444445,40
"109",3,80,"CS-US",3,"CS-US",2,6,2,-6.30922222222222,75
"110",3,83,"CS-US",1,"CS",2,3,3,-2.70761111111111,17
"111",3,84,"CS-US",2,"CS-US",1,5,1,1.18577777777777,100
"112",3,85,"CS-US",3,"CS-US",2,6,2,2.56361111111112,80
"113",3,86,"CS-US",4,"CS-US",3,7,3,-7.41466666666665,27
"114",3,88,"CS-US",1,"CS",1,4,4,1.30561111111111,96
"115",3,91,"CS-US",1,"CS",2,3,3,-10.3786111111111,74
