1.0212 	WARNING 	Monitor specification not found. Creating a temporary one...
1.6108 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1110a7190>, multiSample=False, name='window1', numSamples=2, pos=[480, 120], screen=0, size=array([1600, 1200]), stereo=False, units='pix', useFBO=False, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
1.6598 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=15, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='Simultaneous (y) or Not simultaneous (n)?', units='pix', win=Window(...), wrapWidth=500)
1.6783 	EXP 	Set  sound=G
1.8051 	EXP 	New trial (rep=0, index=0): []
2.5064 	EXP 	Sound  started
3.2076 	EXP 	Sound  started
3.9088 	EXP 	Sound  started
4.6093 	EXP 	Sound  started
5.3096 	EXP 	Sound  started
11.2528 	DATA 	Keypress: n
16.2647 	EXP 	New trial (rep=0, index=1): []
16.9660 	EXP 	Sound  started
17.6673 	EXP 	Sound  started
18.3686 	EXP 	Sound  started
19.0688 	EXP 	Sound  started
19.7702 	EXP 	Sound  started
21.9081 	DATA 	Keypress: n
26.9179 	EXP 	New trial (rep=0, index=2): []
27.6184 	EXP 	Sound  started
28.3197 	EXP 	Sound  started
29.0209 	EXP 	Sound  started
29.7222 	EXP 	Sound  started
30.4233 	EXP 	Sound  started
31.9993 	DATA 	Keypress: y
37.0210 	EXP 	New trial (rep=0, index=3): []
37.7223 	EXP 	Sound  started
38.4236 	EXP 	Sound  started
39.1248 	EXP 	Sound  started
39.8261 	EXP 	Sound  started
40.5273 	EXP 	Sound  started
42.1131 	DATA 	Keypress: n
47.1235 	EXP 	New trial (rep=0, index=4): []
47.8248 	EXP 	Sound  started
48.5260 	EXP 	Sound  started
49.2273 	EXP 	Sound  started
49.9279 	EXP 	Sound  started
50.6291 	EXP 	Sound  started
52.0810 	DATA 	Keypress: n
57.0921 	EXP 	New trial (rep=0, index=5): []
57.7927 	EXP 	Sound  started
58.4929 	EXP 	Sound  started
59.1932 	EXP 	Sound  started
59.8933 	EXP 	Sound  started
60.5945 	EXP 	Sound  started
62.3748 	DATA 	Keypress: y
67.3918 	EXP 	window1: mouseVisible = True
