2.5141 	WARNING 	Monitor specification not found. Creating a temporary one...
3.1121 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x111767190>, multiSample=False, name='window1', numSamples=2, pos=[480, 120], screen=0, size=array([1600, 1200]), stereo=False, units='pix', useFBO=False, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
3.1627 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=15, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='Simultaneous (y) or Not simultaneous (n)?', units='pix', win=Window(...), wrapWidth=500)
3.1856 	EXP 	Set  sound=G
3.3127 	EXP 	New trial (rep=0, index=0): []
4.0139 	EXP 	Sound  started
4.7147 	EXP 	Sound  started
5.4160 	EXP 	Sound  started
6.1172 	EXP 	Sound  started
6.8184 	EXP 	Sound  started
9.7912 	DATA 	Keypress: escape
14.7962 	EXP 	New trial (rep=0, index=1): []
15.4964 	EXP 	Sound  started
16.1972 	EXP 	Sound  started
16.8984 	EXP 	Sound  started
17.5987 	EXP 	Sound  started
18.3000 	EXP 	Sound  started
22.3244 	EXP 	window1: mouseVisible = True
